name,online_order,book_table,rate,votes,rest_type,cuisines,cost,locality
Monsoon,No,No,2.8,11,Food Court,Continental,1000.0,Bellandur
BISO - Citrus Hotels,No,No,3.0,120,Casual Dining,"North Indian, Italian, Chinese, Asian",1000.0,Bellandur
Chef's Gallery,No,No,3.5,95,Casual Dining,"Chinese, Italian, North Indian",700.0,
Palki's,No,No,3.0,155,Casual Dining,"North Indian, Biryani",800.0,Bellandur
W XYZ Bar - Aloft Bengaluru Cessna Business Park,No,No,3.8,46,"Lounge, Casual Dining","Finger Food, North Indian",2000.0,Bellandur
The Black Pearl,No,Yes,4.8,7023,"Casual Dining, Bar","North Indian, European, Mediterranean, BBQ",1500.0,
The Fisherman's Wharf,Yes,Yes,4.4,4099,"Casual Dining, Bar","Seafood, Goan, North Indian, Continental, Asian",1400.0,Bellandur
Jalsa Gold,No,Yes,4.5,3421,Casual Dining,"North Indian, Mughlai, Italian",1300.0,Bellandur
AB's - Absolute Barbecues,No,Yes,4.7,881,Casual Dining,"European, Mediterranean, North Indian, BBQ",1600.0,Bellandur
The Hidden Home,Yes,Yes,4.3,994,Casual Dining,"Asian, Chinese, Continental, North Indian, South Indian",1300.0,Bellandur
Barbecoa,No,No,4.3,1303,Casual Dining,"North Indian, Continental, Chettinad, Andhra, Bengali",1000.0,Bellandur
Opus Food Stories,No,Yes,4.7,163,"Bar, Casual Dining","Goan, Asian, North Indian, European, Continental",1500.0,Bellandur
Village - The Soul of India,No,No,3.9,1225,Casual Dining,"North Indian, Lucknowi, Gujarati, Maharashtrian, South Indian, Bengali",1100.0,Bellandur
Little Italy,Yes,Yes,4.3,715,Casual Dining,"Italian, Pizza",1500.0,Bellandur
Xtreme Sports Bar,Yes,Yes,4.0,942,Pub,"Continental, Chinese, North Indian",1300.0,Bellandur
RRoyal Rajasthan,Yes,No,4.3,754,Casual Dining,"Rajasthani, North Indian",500.0,
Flavours - Octave Hotel & Spa,No,No,3.0,197,Casual Dining,"North Indian, Chinese",700.0,
The Hub - Ibis Bengaluru,No,No,3.9,237,Bar,Finger Food,,Bellandur
Equinox Bar - DoubleTree Suites By Hilton,No,Yes,3.9,52,Lounge,"Continental, Thai, Vietnamese, American, Chinese, North Indian, Finger Food",1900.0,Bellandur
Story Time,No,No,3.7,15,"Cafe, Quick Bites","North Indian, South Indian, Andhra, Cafe",500.0,Bellandur
The Salad Studio,Yes,No,4.0,107,Cafe,"Cafe, Healthy Food, Salad",400.0,Bellandur
On the Go Cafeteria,No,No,,0,Takeaway,"Fast Food, Cafe",200.0,Bellandur
Mont Blanc Cafe,Yes,No,3.8,35,Cafe,"Cafe, Bakery, Italian",650.0,Bellandur
Chef Baker's,Yes,No,3.6,136,"Bakery, Quick Bites","Bakery, Fast Food, Pizza, Burger, Cafe",600.0,Bellandur
Cafe Jezve,No,No,4.0,23,Cafe,Cafe,500.0,Bellandur
Starbucks,No,No,3.9,38,"Cafe, Food Court","Cafe, Desserts",700.0,Bellandur
Puro Gusto,No,No,3.9,25,Cafe,Cafe,400.0,Bellandur
Tata Cha,Yes,No,3.6,34,"Beverage Shop, Cafe","Tea, Fast Food, Cafe",400.0,Bellandur
Cafe Coffee Day,Yes,No,3.1,48,Cafe,"Cafe, Fast Food",900.0,Bellandur
Tea Totallers,Yes,No,2.9,19,Cafe,"Cafe, Continental, Tea",500.0,Bellandur
Delitz Creamvilla Cafe,Yes,No,4.0,74,"Cafe, Dessert Parlor","Cafe, Desserts, Ice Cream",600.0,Bellandur
The Brewing Bean,No,No,3.7,47,Cafe,Cafe,500.0,Bellandur
Cuppa,No,No,3.7,33,Cafe,"Cafe, Fast Food",550.0,Bellandur
Re:fuel- Aloft Bengaluru Cessna Business Park,No,No,,0,"Cafe, Bakery","Bakery, Beverages, Cafe, Coffee, Desserts, Sandwich",1000.0,Bellandur
Costa Coffee,No,No,3.0,6,Cafe,"Cafe, Fast Food",500.0,Bellandur
Cafe Olive,No,No,3.8,114,Cafe,"Cafe, European, Beverages, Italian",550.0,
Cafe Thulp,Yes,Yes,4.0,341,Cafe,"Cafe, Burger, Italian, Salad",1000.0,Bellandur
Chai Resto,No,No,3.6,5,Quick Bites,"Fast Food, Tea",200.0,Bellandur
Stoner,Yes,No,4.3,556,"Dessert Parlor, Cafe","Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",500.0,
Zoey's,Yes,No,4.3,894,Cafe,"Cafe, Italian, Continental, Burger",600.0,Bellandur
Eating Love,Yes,No,4.3,149,Cafe,"Cafe, Italian, Pizza",800.0,Bellandur
Light House Cafe,Yes,No,3.7,94,Cafe,"Cafe, Beverages, Continental, North Indian, Chinese",700.0,
Chaai Resto,Yes,No,4.1,33,Cafe,"Cafe, Rolls, Fast Food",200.0,Bellandur
Imperio Cafe,No,No,3.9,22,Quick Bites,"Cafe, Fast Food, Pizza, Burger, Beverages",200.0,Bellandur
The Shed,No,No,,0,Cafe,"Cafe, Fast Food",400.0,Bellandur
Biggies Burger 'n' More,No,No,,0,Quick Bites,"Burger, American, Beverages, Cafe",650.0,Bellandur
eat.fit,Yes,No,4.4,632,Delivery,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500.0,Bellandur
Sher-E-Punjab,Yes,No,3.4,414,Quick Bites,"North Indian, Chinese",400.0,Bellandur
Blue Berry Restaurant,Yes,No,3.9,146,Casual Dining,"North Indian, Biryani, Chinese, Beverages",650.0,Bellandur
BOX8- Desi Meals,Yes,No,4.1,166,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500.0,Bellandur
FreshMenu,Yes,No,3.2,113,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,Bellandur
Udupi Ruchi,Yes,No,3.8,240,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200.0,Bellandur
Rangla Punjab,Yes,No,2.9,313,Quick Bites,"North Indian, Chinese",450.0,Bellandur
Thiruvithamkoor Restaurant,Yes,No,3.3,294,Quick Bites,"Kerala, Seafood, South Indian, Biryani",400.0,Bellandur
The Paratha Company,Yes,No,4.3,166,Delivery,North Indian,400.0,Bellandur
nu.tree,Yes,No,4.4,278,Delivery,"North Indian, Healthy Food, Beverages",400.0,Bellandur
Best Of Bengal,Yes,No,3.8,230,Quick Bites,Bengali,300.0,Bellandur
Kerala Panoor Restaurant,Yes,No,3.5,137,Quick Bites,"Kerala, Seafood, Biryani, South Indian",350.0,Bellandur
Odians,Yes,No,3.2,38,Quick Bites,"North Indian, Chinese, Oriya",500.0,Bellandur
Pet Full @ 99,Yes,No,3.1,15,Quick Bites,North Indian,200.0,Bellandur
New Punjabi Dhaba,Yes,No,3.9,782,Quick Bites,"North Indian, Chinese",300.0,Bellandur
Punjabi Dawat,Yes,No,2.9,248,Quick Bites,"North Indian, Chinese",400.0,Bellandur
Burger King,Yes,No,3.8,62,Quick Bites,"Burger, Fast Food",500.0,Bellandur
Kerala Mess Upahar,Yes,No,3.7,123,Mess,"Kerala, Biryani, South Indian",300.0,Bellandur
Phulke Ghar Ke,Yes,No,4.0,532,Quick Bites,"North Indian, Chinese",300.0,Bellandur
XO Belgian Waffle,Yes,No,4.5,141,Dessert Parlor,"Desserts, Beverages",400.0,Bellandur
Lassi Corner,Yes,No,3.8,68,Quick Bites,"Beverages, Juices, Ice Cream, Fast Food, Sandwich",200.0,Bellandur
Coastal Fish Land,Yes,No,,0,Casual Dining,Mangalorean,500.0,Bellandur
Bathinda Junction,Yes,Yes,4.0,533,Casual Dining,North Indian,600.0,Bellandur
The Meal Story,Yes,No,4.2,258,Casual Dining,"North Indian, Street Food",700.0,Bellandur
Meghana Foods Grand,Yes,No,4.2,3334,Casual Dining,"Biryani, Seafood, Andhra, North Indian",600.0,Bellandur
Murli,Yes,No,3.9,1233,Casual Dining,"North Indian, Chinese, Street Food, Fast Food, Mithai",500.0,Bellandur
Barbeque Delight,Yes,Yes,3.8,188,Casual Dining,"Arabian, Kerala, North Indian, Chinese, BBQ",800.0,Bellandur
Basmati Restaurant,Yes,No,3.8,419,Casual Dining,"Biryani, Andhra, North Indian, Chinese",900.0,Bellandur
Reddy's Restaurant,Yes,No,3.6,34,Casual Dining,"Andhra, Biryani, South Indian, Chinese",500.0,Bellandur
Hyderabad Biryaani House,Yes,No,3.7,833,Casual Dining,"Biryani, North Indian, Chinese",550.0,Bellandur
Sukhi Bhava,Yes,No,3.6,21,Quick Bites,"Andhra, Chinese, Biryani",300.0,Bellandur
Kanti Sweets,Yes,No,4.0,152,Sweet Shop,"Mithai, Street Food",400.0,Bellandur
Fun Kitchen,Yes,No,3.8,87,Quick Bites,"North Indian, Chinese, Fast Food",400.0,Bellandur
Hyderabadi Biryani Hub,Yes,No,3.5,45,Quick Bites,"Biryani, North Indian",600.0,Bellandur
Moriz Restaurant,Yes,No,2.9,666,Casual Dining,"Arabian, North Indian, Seafood, Chinese, Biryani",800.0,Bellandur
Polar Bear,Yes,No,3.9,105,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400.0,Bellandur
Blueberry Restaurant,Yes,No,3.7,36,Quick Bites,"North Indian, Biryani, South Indian",400.0,Bellandur
Biryani Kitchen,Yes,No,3.9,214,Quick Bites,Biryani,400.0,Bellandur
Udupi Aatithya,Yes,No,4.0,77,Quick Bites,"South Indian, North Indian, Chinese",300.0,Bellandur
Pepperwood,Yes,No,3.8,132,Quick Bites,"Biryani, Rolls",300.0,Bellandur
NY Pizza And Waffles,Yes,No,,0,Quick Bites,"Pizza, Fast Food",300.0,Bellandur
Biriyani House,Yes,No,3.6,27,Casual Dining,Biryani,400.0,Bellandur
Punjabi Khana,Yes,No,3.0,12,Quick Bites,North Indian,500.0,Bellandur
Al Daaz,Yes,No,4.2,567,Casual Dining,"North Indian, Continental, BBQ",550.0,Bellandur
Mojo Pizza - 2X Toppings,Yes,No,4.1,164,"Takeaway, Delivery",Pizza,600.0,Bellandur
Chai Point,Yes,No,4.0,316,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food",250.0,Bellandur
Bihar Ki Shan,Yes,No,3.9,343,Quick Bites,North Indian,300.0,Bellandur
Sai Santhi Cafe,Yes,No,3.8,62,Casual Dining,"South Indian, North Indian, Chinese",400.0,Bellandur
Sri Vishnu Veg,Yes,No,3.5,11,Quick Bites,South Indian,200.0,Bellandur
Shudh,Yes,No,4.1,87,Delivery,North Indian,300.0,Bellandur
Biryani Miya,Yes,No,3.8,44,Delivery,"Biryani, North Indian",600.0,Bellandur
Mani's Dum Biryani,Yes,No,4.0,894,Casual Dining,"Biryani, Kebab",750.0,Bellandur
Sri Vishnu Grand & Garden Restaurant,Yes,No,3.8,7,Quick Bites,"South Indian, North Indian, Fast Food",500.0,Bellandur
Hyderabadi Bawarchi Biriyani,Yes,No,,0,Casual Dining,Biryani,450.0,Bellandur
Donne Biriyani House,Yes,No,3.2,126,Quick Bites,Biryani,300.0,Bellandur
Potful,Yes,No,3.8,832,Delivery,"Biryani, Kebab, Rolls, Mughlai",650.0,Bellandur
Bahar Cafe,Yes,Yes,4.0,903,Casual Dining,"Andhra, Biryani, Chinese, Hyderabadi, North Indian, South Indian",750.0,Bellandur
Subway,Yes,No,3.7,38,Quick Bites,"Salad, Fast Food",600.0,Bellandur
KFC,Yes,No,3.2,380,Quick Bites,"Burger, Fast Food",450.0,Bellandur
DinePost9,Yes,No,3.8,798,Delivery,"North Indian, South Indian, Chinese, Continental",450.0,Bellandur
Thalassery Restaurant,Yes,No,3.4,692,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese, Arabian, Kebab, Kerala",600.0,Bellandur
Sri Vishnu Grand,Yes,No,3.8,135,Casual Dining,"South Indian, North Indian, Chinese",400.0,Bellandur
Paradise,Yes,No,,0,Delivery,"Biryani, North Indian",600.0,Bellandur
Bathinda Dine,Yes,No,4.0,230,Casual Dining,North Indian,950.0,Bellandur
WOW! Momo,Yes,No,3.5,79,Quick Bites,"Chinese, Momos",400.0,Bellandur
Behrouz Biryani,Yes,No,4.0,357,Delivery,Biryani,650.0,Bellandur
Sri Krishna Kitchen,Yes,No,3.6,22,Quick Bites,"North Indian, Chinese",350.0,Bellandur
Maa Bhook Lagi,Yes,No,4.1,152,Delivery,North Indian,400.0,Bellandur
Cake Town Cafe,Yes,No,3.9,75,"Bakery, Dessert Parlor","Bakery, Desserts",500.0,Bellandur
Kairali Restaurant,Yes,No,3.9,94,Quick Bites,Kerala,200.0,Bellandur
Basaveshwara Khanavali,Yes,No,3.6,11,Quick Bites,South Indian,150.0,Bellandur
Punjabi Food Point,Yes,No,3.3,200,Quick Bites,"North Indian, Mughlai, Biryani, Chinese",450.0,Bellandur
Punjabi Tadka,Yes,No,2.8,188,Casual Dining,"North Indian, Chinese",400.0,Bellandur
Costa Biryanis,Yes,No,3.3,10,Delivery,"Andhra, Biryani, North Indian, South Indian",300.0,Bellandur
Sri Udupi Park,Yes,No,3.1,226,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500.0,Bellandur
Pizza Hut,Yes,No,2.8,105,Quick Bites,"Pizza, Fast Food",600.0,Bellandur
The Punjabi Rasoi,Yes,Yes,3.7,194,Casual Dining,North Indian,800.0,Bellandur
Punjab Di Shaan,Yes,No,3.0,38,Casual Dining,North Indian,450.0,Bellandur
Punjabi Nukkad Pure Veg,Yes,No,3.5,378,Quick Bites,"North Indian, Chinese, Juices",500.0,Bellandur
Atithi Sambrama,Yes,No,3.9,69,Quick Bites,"South Indian, North Indian, Chinese",200.0,Bellandur
Navya's,Yes,No,2.9,45,Casual Dining,"North Indian, Andhra",600.0,Bellandur
Lassi Shop,Yes,No,3.9,152,Beverage Shop,"Beverages, Ice Cream, Fast Food",300.0,Bellandur
Mandya Gowdru Donne Biriyani,Yes,No,3.8,281,Quick Bites,"Biryani, South Indian",350.0,Bellandur
Marwari Basa,Yes,No,3.1,26,Quick Bites,"Rajasthani, North Indian",300.0,Bellandur
Indori Zaika,Yes,No,2.8,105,Quick Bites,North Indian,300.0,Bellandur
Mealer.in,Yes,No,3.9,432,Delivery,"North Indian, Biryani",450.0,Bellandur
Kya Khaoge,Yes,No,3.7,63,Delivery,"North Indian, Chinese",300.0,Bellandur
Homelicious Food,Yes,No,,0,Quick Bites,North Indian,200.0,Bellandur
Rayalaseema Chefs,Yes,Yes,3.9,225,Casual Dining,"North Indian, Biryani, Andhra, Chinese",800.0,Bellandur
Ambur Dum Biriyani,Yes,No,3.4,12,Quick Bites,Biryani,200.0,Bellandur
The Nosh House,Yes,No,4.3,220,Delivery,"American, Italian, Bakery, Desserts, Sandwich, Beverages, Salad, Rolls",600.0,Bellandur
Frozen Bottle,Yes,No,4.0,82,Beverage Shop,"Beverages, Desserts",400.0,Bellandur
Warm Oven,Yes,No,3.8,65,Bakery,"Bakery, Desserts",500.0,Bellandur
Firangi Bake,Yes,No,4.1,88,Delivery,"Mexican, Italian",600.0,Bellandur
Savoury Restaurant,Yes,No,2.9,827,Casual Dining,"Arabian, North Indian, Chinese, Kerala, Seafood, Biryani",800.0,Bellandur
Delhite Food,Yes,No,3.5,6,Quick Bites,North Indian,300.0,Bellandur
Faasos,Yes,No,4.1,193,Quick Bites,"North Indian, Biryani, Fast Food",500.0,Bellandur
The Flying Cup,Yes,No,4.2,233,Quick Bites,"Beverages, Fast Food, Tea",150.0,Bellandur
The Rasaganga,Yes,No,3.7,404,Casual Dining,"South Indian, North Indian, Chinese, Street Food",500.0,Bellandur
Udupi Nalapaka,Yes,No,3.7,37,Quick Bites,"South Indian, North Indian, Chinese",400.0,Bellandur
Sarjapur Social,Yes,No,4.6,1193,"Bar, Casual Dining","American, North Indian, Chinese, Finger Food",1500.0,
Just Shawarma,Yes,No,3.9,78,Quick Bites,Arabian,300.0,Bellandur
Konaseema Kitchen,Yes,Yes,3.8,571,Casual Dining,"North Indian, Biryani, Andhra, South Indian",600.0,Bellandur
PSV's Andhra Paradise,Yes,No,3.5,116,Casual Dining,"Andhra, Chinese, North Indian, Hyderabadi",600.0,Bellandur
Maia - Eat | Bake | Mom,Yes,Yes,4.3,996,Casual Dining,"Continental, North Indian, Beverages",1200.0,
Punjab Zone,Yes,No,2.9,120,Quick Bites,North Indian,400.0,Bellandur
Yummy Punjabi,Yes,No,2.9,93,Quick Bites,"North Indian, Chinese",400.0,Bellandur
Happy Endings,Yes,No,4.3,490,"Bakery, Dessert Parlor","Bakery, Desserts, Italian",500.0,Bellandur
Meghana Biryani,Yes,No,2.3,235,Casual Dining,North Indian,800.0,Bellandur
Andhra Bhojanam,Yes,No,3.6,48,Delivery,Andhra,400.0,Bellandur
Cupcake Bliss,Yes,No,3.3,8,Bakery,Bakery,250.0,Bellandur
Spicy Khana Point,Yes,No,3.0,68,Quick Bites,"North Indian, Chinese, Biryani",500.0,Bellandur
Hyderabad Chefs,Yes,No,4.0,717,Casual Dining,"Hyderabadi, Andhra, North Indian, Chinese, South Indian",800.0,Bellandur
The Hidden Home,Yes,Yes,4.3,994,Casual Dining,"Asian, Chinese, Continental, North Indian, South Indian",1300.0,
Byg Brewski Brewing Company,Yes,Yes,4.9,16345,Microbrewery,"Continental, North Indian, Italian, South Indian, Finger Food",1600.0,
Nutty Affair,Yes,No,3.7,25,Quick Bites,Desserts,350.0,Bellandur
Waffle Talesz,Yes,No,3.6,18,Dessert Parlor,Desserts,200.0,Bellandur
Suryawanshi,Yes,Yes,4.5,125,Casual Dining,"Maharashtrian, Seafood",700.0,Bellandur
Chili's American Grill & Bar,Yes,Yes,4.5,1365,"Casual Dining, Bar","American, Tex-Mex, Burger, BBQ",1800.0,Bellandur
Hyderabadi Zaiqa,Yes,No,3.1,41,Casual Dining,"Hyderabadi, North Indian, Biryani",700.0,Bellandur
Indiana Burgers,Yes,No,3.5,28,Delivery,Burger,300.0,Bellandur
Abhiruchi Restaurant,Yes,No,3.4,5,Casual Dining,"Andhra, North Indian, Chinese",400.0,Bellandur
9 Bowls,Yes,No,,0,Quick Bites,"Healthy Food, Continental, North Indian, Chinese",500.0,Bellandur
Pasta Twist Plus,Yes,No,2.6,20,Casual Dining,"Fast Food, Continental",400.0,Bellandur
Delite Chaat House,Yes,No,3.5,178,Quick Bites,"Street Food, Gujarati",300.0,Bellandur
Hyderabadi Biriyani,Yes,No,3.4,33,Casual Dining,"Biryani, Hyderabadi, Chinese, North Indian",800.0,Bellandur
Sri Krishna Sagar,Yes,No,3.5,234,Quick Bites,"South Indian, North Indian, Chinese, Street Food, Juices",400.0,Bellandur
Momo Rice Noodles,Yes,No,3.4,68,Quick Bites,"Chinese, Momos",600.0,Bellandur
Bombay Sandwich Company,Yes,No,3.5,32,Delivery,"Sandwich, Beverages",400.0,Bellandur
Frosty Fills,Yes,No,,0,Quick Bites,"Desserts, Ice Cream",250.0,Bellandur
Hungry Bird,Yes,No,3.6,15,Quick Bites,"North Indian, Chinese, Biryani",400.0,Bellandur
The Good Bowl,Yes,No,3.6,10,"Takeaway, Delivery","Italian, North Indian, Biryani",500.0,Bellandur
Veg Rasoi,Yes,No,3.9,92,Delivery,"North Indian, Rajasthani",600.0,
Curry Flavours,Yes,No,3.7,59,Casual Dining,"Tamil, South Indian, North Indian, Chinese",200.0,Bellandur
Petoo,Yes,No,4.1,103,Quick Bites,"North Indian, Fast Food, Street Food",800.0,Bellandur
Xung Fu,Yes,No,,0,Quick Bites,"Asian, Chinese",350.0,Bellandur
Dhaba Estd 1986 Delhi,Yes,Yes,4.4,1209,"Casual Dining, Bar",North Indian,1100.0,
Inhouse Burger,Yes,No,4.0,167,Quick Bites,Fast Food,400.0,Bellandur
Manchow,Yes,Yes,3.8,157,Casual Dining,"Chinese, Asian, Momos",600.0,Bellandur
Andhra Vilaas,Yes,No,3.7,52,Quick Bites,"Andhra, North Indian, Biryani",350.0,Bellandur
Bangaliana,Yes,No,3.7,309,Casual Dining,Bengali,600.0,Bellandur
La Casa Brewery And Kitchen,Yes,Yes,4.4,1381,"Microbrewery, Casual Dining","Finger Food, Continental, Seafood",1500.0,
Biriyani Zone,Yes,No,3.9,667,Casual Dining,"Biryani, North Indian, Chinese, Seafood",800.0,Bellandur
Soup'ermanz Kitchen,Yes,No,4.1,433,Cafe,"Cafe, Continental, Burger",750.0,Bellandur
North Indian Kitchen,No,No,3.2,13,Takeaway,North Indian,,Bellandur
MAP- My Appetite Place,Yes,No,3.8,29,"Takeaway, Delivery","North Indian, Italian, Chinese",600.0,Bellandur
Healthie,Yes,No,3.9,70,Delivery,"Healthy Food, Beverages",600.0,
Sri Dalma,Yes,No,3.8,77,Quick Bites,"Oriya, Bengali",350.0,Bellandur
Artinci Artisanal Ice Cream,Yes,No,,0,Dessert Parlor,"Ice Cream, Desserts",300.0,Bellandur
Chai World,Yes,No,3.5,18,Quick Bites,"Tea, Beverages, Sandwich, Fast Food",300.0,Bellandur
Baker's Home,Yes,No,4.0,175,"Bakery, Dessert Parlor","Bakery, Desserts",300.0,Bellandur
Paratha Treat,Yes,No,3.6,51,Quick Bites,North Indian,200.0,Bellandur
New Cool Joint,Yes,No,3.5,23,Quick Bites,"Fast Food, Beverages, Ice Cream, Juices, Sandwich",150.0,Bellandur
Al Khansah,Yes,No,3.9,370,Casual Dining,"Biryani, Mughlai, Chinese, North Indian, Kebab",550.0,Bellandur
Chullah Bhatti,Yes,Yes,4.0,557,Casual Dining,"North Indian, Chinese",900.0,Bellandur
Matka,Yes,Yes,3.6,25,Casual Dining,"North Indian, Biryani",500.0,Bellandur
Feel@Home,Yes,No,3.6,42,"Takeaway, Delivery","North Indian, Chinese",300.0,Bellandur
Mangala Hotel,Yes,No,3.8,27,Quick Bites,"Kerala, Chinese, North Indian",300.0,Bellandur
Kabab Magic,Yes,No,3.1,281,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",400.0,Bellandur
Keventers,Yes,No,3.6,18,"Beverage Shop, Dessert Parlor","Desserts, Beverages, Ice Cream",400.0,Bellandur
The Kebab House,Yes,No,4.3,49,Quick Bites,"Kebab, Biryani",250.0,Bellandur
Daniyal's,Yes,No,3.6,6,"Takeaway, Delivery","North Indian, Biryani, Mughlai, Kebab",800.0,Bellandur
Poha On Wheels,Yes,No,4.1,65,"Takeaway, Delivery",Street Food,100.0,Bellandur
Float,Yes,Yes,4.4,3061,"Casual Dining, Bar","North Indian, Japanese",1500.0,
Domino's Pizza,Yes,No,3.6,260,Quick Bites,"Pizza, Fast Food",800.0,Bellandur
Makers of Milkshakes,Yes,No,3.9,39,Beverage Shop,Beverages,300.0,Bellandur
Shake It Off,Yes,No,4.0,60,Beverage Shop,"Beverages, Fast Food",600.0,Bellandur
Udupi Savi Thindi,Yes,No,3.6,14,"Takeaway, Delivery","South Indian, North Indian, Chinese",300.0,Bellandur
Karavali Kitchen,Yes,No,3.1,85,Casual Dining,Mangalorean,400.0,Bellandur
InnerChef,Yes,No,3.9,231,Delivery,"North Indian, Continental",500.0,Bellandur
RP Sweets,Yes,No,3.4,7,Quick Bites,"Mithai, Fast Food",300.0,Bellandur
Broadway - The Gourmet Theatre,Yes,Yes,4.2,1142,Casual Dining,"Japanese, North Indian, Italian, Korean, Mexican, Thai",1800.0,
Appetite Workstation,Yes,No,3.6,16,Quick Bites,"North Indian, Chinese, Biryani",500.0,Bellandur
Mango Tree Grand,Yes,No,3.8,112,Quick Bites,"Andhra, North Indian",700.0,Bellandur
Grigliato,Yes,No,3.9,715,Casual Dining,"Italian, Chinese, Continental, Steak",1000.0,Bellandur
Crunch Pizzas - Express Delivery,Yes,No,3.0,237,Delivery,Pizza,500.0,Bellandur
Parrattha Ssinghh,Yes,No,4.2,45,Quick Bites,North Indian,250.0,Bellandur
Atithi Aramane Veg,Yes,No,3.9,48,Quick Bites,"South Indian, North Indian, Chinese",300.0,Bellandur
Yummy Tummy,Yes,No,3.0,111,Quick Bites,"Rolls, North Indian, Chinese, Biryani",400.0,Bellandur
Beijing Bites,Yes,No,3.9,396,Casual Dining,"Chinese, Thai",850.0,Bellandur
AKSHAYA BIRYANI,Yes,No,3.6,20,Quick Bites,"Biryani, North Indian",300.0,Bellandur
Lungees Foods,Yes,No,3.7,160,Casual Dining,Kerala,500.0,Bellandur
Reddy's Paradise,Yes,No,3.4,9,Quick Bites,"Fast Food, Chinese, North Indian, Biryani",400.0,Bellandur
Tarbouche,Yes,No,3.5,18,Kiosk,Turkish,300.0,Bellandur
Bombay Brasserie,Yes,No,4.3,555,Casual Dining,Modern Indian,1800.0,
Biriyani Adda,Yes,No,,0,Quick Bites,"North Indian, Chinese, Biryani, Kebab",350.0,Bellandur
Ajwa Thalassery Biryani,Yes,Yes,3.9,42,Quick Bites,"Biryani, South Indian",500.0,Bellandur
YumYumDilli,Yes,No,3.5,16,Delivery,North Indian,500.0,Bellandur
Folklore Restaurant,Yes,No,3.4,262,Casual Dining,Kerala,450.0,
Napoli Italian Bistro,Yes,Yes,4.1,1056,"Casual Dining, Bar","Italian, Mexican, Continental, Pizza",1200.0,Bellandur
Uptown Sliders & Shakes,Yes,No,3.9,112,Quick Bites,"Burger, Fast Food, Beverages",600.0,Bellandur
The Grub Central,Yes,Yes,4.0,797,Cafe,"Cafe, Italian, Continental",700.0,Bellandur
Cold Smith Ice Creams,Yes,No,3.9,41,Dessert Parlor,"Ice Cream, Desserts",450.0,Bellandur
Keerthi Restaurant Andhra Style,Yes,No,,0,Quick Bites,Andhra,300.0,Bellandur
Thalis Of India,Yes,No,3.3,7,Delivery,"South Indian, North Indian, Beverages",500.0,Bellandur
Singh Saheb Di Rasoi,Yes,No,3.2,10,Quick Bites,North Indian,800.0,Bellandur
Slurpy Shakes,Yes,No,3.3,6,Delivery,Beverages,300.0,Bellandur
The Milkshake Theory,Yes,No,3.7,29,Beverage Shop,"Beverages, Fast Food",400.0,Bellandur
Cake Box,Yes,No,2.9,24,Bakery,"Bakery, Desserts",400.0,Bellandur
Wangs Kitchen,Yes,No,2.4,438,Casual Dining,Chinese,1000.0,Bellandur
Quick Bites Food Junction,Yes,No,3.8,30,Quick Bites,"North Indian, Chinese, Bengali",300.0,Bellandur
Kidilum,Yes,No,3.6,32,Casual Dining,"North Indian, Chinese, Kerala",450.0,Bellandur
Juice Junction Food Court,Yes,No,3.8,210,Quick Bites,"Juices, South Indian, Chinese, Fast Food",200.0,Bellandur
World In A Bowl,Yes,No,3.5,17,Delivery,"Continental, North Indian, Desserts, Beverages",600.0,Bellandur
Sintales,Yes,No,3.6,44,Cafe,"Cafe, Continental, Pizza, Burger, Beverages",600.0,Bellandur
The Litti Company,Yes,No,3.7,33,"Takeaway, Delivery",Bihari,400.0,Bellandur
Tanoor Tandoori,Yes,No,,0,Delivery,"North Indian, Mughlai, Chinese, Kebab, Biryani",550.0,Bellandur
Myrasoiya.com,Yes,No,3.4,20,Delivery,North Indian,350.0,Bellandur
Stoner,Yes,No,4.3,556,"Dessert Parlor, Cafe","Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",500.0,Bellandur
Vandana Andhra and Multi Cuisine,Yes,Yes,4.1,481,Casual Dining,"Andhra, Hyderabadi, Biryani, Chinese, North Indian",900.0,Bellandur
American Bites,Yes,No,3.0,4,Quick Bites,"Pizza, American, Fast Food, Seafood",300.0,Bellandur
Roti's Ghar,Yes,No,,0,"Takeaway, Delivery","North Indian, Juices",200.0,Bellandur
Telugu Velugu,Yes,No,,0,Quick Bites,"South Indian, Andhra",500.0,Bellandur
Aashish Foods,Yes,No,3.8,34,Quick Bites,North Indian,150.0,Bellandur
Laddoos,Yes,No,2.9,163,"Quick Bites, Sweet Shop","North Indian, Street Food, Mithai",250.0,Bellandur
Omleterian,Yes,No,,0,Delivery,"American, Continental",200.0,Bellandur
Rusbury Fresh Sweets And Savouries,Yes,No,4.0,65,Sweet Shop,"Mithai, Street Food",200.0,Bellandur
